City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,paracuru,-3.41,-39.0306,28.43,62,76,7.22,BR,1724867229
322,breckenridge,32.7557,-98.9023,34.11,36,40,6.04,US,1724867230
323,bamboo flat,11.7,92.7167,26.05,89,100,3.09,IN,1724867232
324,qamdo,31.1667,97.2333,8.49,77,100,1.28,CN,1724867233
325,buncrana,55.1333,-7.45,16.87,82,53,4.03,IE,1724867234
326,labytnangi,66.6572,66.4183,13.77,58,76,2.55,RU,1724867235
327,pemangkat,1.1667,108.9667,25.3,91,100,9.47,ID,1724867236
328,vung tau,10.346,107.0843,26.28,87,100,4.59,VN,1724867237
329,rio grande,-32.035,-52.0986,14.32,70,0,4.7,BR,1724867238
330,holualoa,19.6228,-155.9522,23.82,86,20,3.6,US,1724867239
331,jinji,23.2281,110.8261,26.97,88,97,0.19,CN,1724867240
332,greymouth,-42.4667,171.2,11.76,97,94,5.45,NZ,1724867241
333,uray,60.1247,64.7758,14.49,94,100,3.24,RU,1724867242
334,port lincoln,-34.7333,135.8667,12.1,71,68,3.92,AU,1724867243
335,ashland,40.8167,-82.2665,32.37,61,19,2.58,US,1724867153
336,yorosso,12.3536,-4.7761,25.82,79,100,3.7,ML,1724867246
337,siem reap,13.5,104.0,24.74,93,98,2.15,KH,1724867247
338,palikir - national government center,6.9248,158.1611,24.41,88,100,1.54,FM,1724867248
339,goksun,38.021,36.4973,21.54,74,7,2.64,TR,1724867249
340,san antonio de pale,-1.4014,5.6325,23.64,76,71,4.04,GQ,1724867250
341,sur,22.5667,59.5289,31.67,57,54,2.07,OM,1724867251
342,lazaro cardenas,17.9583,-102.2,31.34,62,84,2.84,MX,1724867252
343,mungwi,-10.1732,31.3694,23.29,34,40,1.8,ZM,1724867253
344,isangel,-19.55,169.2667,21.44,73,24,4.74,VU,1724867254
345,huanggang,23.677,116.9996,26.88,90,100,0.64,CN,1724867255
346,izazi,-7.2,35.7333,27.03,48,18,2.65,TZ,1724867256
347,hadibu,12.65,54.0333,27.28,74,76,8.09,YE,1724867257
348,nemuro,43.3236,145.575,17.28,100,100,1.57,JP,1724867258
349,novocherkassk,47.4181,40.0939,27.01,26,0,6.0,RU,1724867074
350,fada,7.25,4.0667,27.37,78,20,5.14,NG,1724867261
351,beni saf,35.301,-1.3823,28.71,60,2,3.32,DZ,1724867262
352,sao vicente,-23.9631,-46.3919,20.55,26,20,3.09,BR,1724867263
353,keflavik,64.0049,-22.5624,11.24,71,75,7.2,IS,1724867264
354,vilhena,-12.7406,-60.1458,33.12,24,40,2.06,BR,1724867265
355,sovetskaya gavan',48.9723,140.2878,15.58,93,49,1.4,RU,1724867266
356,el hadjira,32.6134,5.5126,35.71,19,20,3.85,DZ,1724867267
357,bonthe,7.5264,-12.505,23.73,93,100,0.81,SL,1724867269
358,kirishi,59.4471,32.0205,15.06,79,37,1.64,RU,1724867270
359,aromashevo,56.8602,68.6375,16.16,92,89,4.14,RU,1724867271
360,madang,-5.2246,145.7966,24.88,88,81,0.92,PG,1724867273
361,guanambi,-14.2233,-42.7814,27.03,44,46,5.92,BR,1724867274
362,rongelap,11.1635,166.8941,28.34,77,100,4.81,MH,1724867275
